ID,Kael,angularity,surface_roughness,asymmetricity1,asymmetricity2,polygonality,area,perimeter,elongation,bulkiness,surface,circularity,sphericity
9_Drawing of 1_particle_6,0.661926202,2.608732728,0.165605564,0.985456068,84.82734268,4.472135955,6842,438,1.61594962,1.330921625,2.23128624,0.66945649,0.720396793
9_Drawing of 10_particle_1,0.503170618,1.901297924,0.139825467,0.614698327,57.66428763,4.0,10675,590,2.247789266,1.280989252,2.594933756,0.620778779,0.588774017
9_Drawing of 10_particle_2,0.601165808,1.857965676,0.111877557,0.940886373,91.38909213,3.0,10520,534,1.819267883,1.299439118,2.1570336,0.680881517,0.673940316
9_Drawing of 10_particle_3,0.641523784,2.214811331,0.139377106,0.634822642,27.90672781,2.828427125,10675,566,1.562352319,1.552986091,2.38811433,0.647101554,0.610633709
9_Drawing of 10_particle_4,0.64377312,1.816444269,0.079845333,0.825200789,23.89105754,4.898979486,10479,534,1.840623103,1.441847691,2.165473182,0.679553409,0.641152868
9_Drawing of 11_particle_1,0.528429577,2.02617511,0.076868237,1.3835805,37.10683897,3.464101615,10740,548,2.120317918,1.305084921,2.225086873,0.670388436,0.661154587
9_Drawing of 11_particle_2,0.623612363,2.088451737,0.095952008,0.935562407,56.06410276,3.872983346,10749,522,1.720277607,1.367027548,2.017265583,0.704074249,0.720662122
9_Drawing of 11_particle_4,0.74860427,1.616929886,0.070264521,1.365659131,70.31607872,4.0,10954,502,1.544177348,1.332554061,1.830732257,0.739073419,0.769931118
9_Drawing of 11_particle_5,0.615242307,1.641812783,0.089270236,1.717415229,31.24833657,5.0,10935,552,1.937527808,1.350878014,2.217427882,0.671545198,0.646597021
9_Drawing of 11_particle_6,0.809562414,2.334948337,0.083588199,0.916856314,72.0323714,4.472135955,10953,528,1.313947301,1.332157947,2.025465701,0.702647578,0.778953125
9_Drawing of 12_particle_1,0.804499262,1.932780841,0.094196445,1.344840951,54.97112239,3.464101615,11324,534,1.280708504,1.259032772,2.003884977,0.706421007,0.778132198
9_Drawing of 12_particle_2,0.679005683,2.75489332,0.145394681,0.661771303,78.22673855,5.477225575,11034,556,1.510006422,1.31405792,2.229496216,0.669725184,0.710482084
9_Drawing of 12_particle_3,0.717665088,2.307030686,0.09874239,1.449362283,79.43127073,3.464101615,11212,522,1.538594875,1.46097956,1.933962518,0.719077953,0.66486814
9_Drawing of 12_particle_4,0.85057585,1.896779865,0.106858382,1.306396268,23.2221629,3.0,11213,512,1.194582322,1.347204051,1.86040816,0.733155137,0.696735377
9_Drawing of 13_particle_1,0.887998018,2.435755764,0.128655824,0.824551834,27.76465708,3.464101615,11598,572,1.125031447,1.343054977,2.244910799,0.667421904,0.726161626
9_Drawing of 13_particle_2,0.76949493,1.797816326,0.095083434,0.698890578,23.12101032,4.0,11383,518,1.413912797,1.340823346,1.875827592,0.730135627,0.774629413
9_Drawing of 13_particle_3,0.748646557,2.220825908,0.188684245,0.926058785,150.4127265,3.464101615,11323,538,1.309640468,1.364052668,2.034197799,0.701137846,0.706279581
9_Drawing of 13_particle_4,0.71645967,2.03246428,0.085303193,0.85898233,117.9775831,3.464101615,11452,552,1.479265566,1.241267341,2.117322205,0.687236985,0.750941493
9_Drawing of 13_particle_5,0.805861383,2.222189514,0.070202471,1.077882336,64.20002554,4.582575695,11524,528,1.336664256,1.366096761,1.925106372,0.720730057,0.820951029
9_Drawing of 13_particle_6,0.686619052,2.012266854,0.09811245,0.835798156,84.82293447,3.872983346,11419,542,1.658708059,1.388541563,2.047201712,0.698907469,0.724837903
9_Drawing of 13_particle_7,0.57463943,2.14620701,0.120108944,1.432280646,237.4131654,3.872983346,11641,558,1.985995015,1.320041251,2.128473486,0.68543437,0.663254432
9_Drawing of 14_particle_1,0.694789011,1.661043932,0.113253163,1.08988782,64.51400958,3.0,11673,550,1.443071565,1.375297671,2.062210669,0.696359469,0.728788629
9_Drawing of 14_particle_2,0.535154178,1.493795998,0.103772323,0.705699449,35.09727978,3.464101615,11606,596,2.110823196,1.336102354,2.435567046,0.640766732,0.603367298
9_Drawing of 14_particle_3,0.728214002,2.179186252,0.111487482,1.028636639,81.02912668,3.464101615,11696,562,1.45821104,1.317504224,2.14894553,0.682161643,0.774241833
9_Drawing of 14_particle_4,0.800554441,1.847742082,0.14451927,1.169751405,35.65799106,4.472135955,11679,532,1.312039979,1.39183373,1.928447154,0.720105502,0.729414672
